Anon. ID,Age,Gender,Home Region,Home Post Code,Work Region,Work Post Code,Country of Residence,Nationality,Personal Earnings,Household Earnings,Education Level,Relationship Status,Employment Status,Employment Type,Employment Sector,Professional Experience,Parental Status,Home Owner/Renter,Adults in Household,Children in Household,Age and Gender of Child,Role in Household,Pets,Q1_R1,Q1_R2,Q1_R3,Q1_R4,Q1_R5,Q1_R6,Q1_R7,Q2_R1,Q2_R2,Q2_R3,Q2_R4,Q2_R5,Q2_R6,Q2_R7,Q2_R8,Q2_R9_None,Q3_R1,Q3_R2,Q3_R3,Q3_R4,Q3_R5,Q3_R6,Q3_R7,Q3_R8,Q4_R1,Q4_R2,Q4_R3,Q4_R4,Q4_R5,Q4_R6,Q5_R1,Q5_R2,Q5_R3,Q5_R4,Q5_R5,Q5_R6,Q6_R1,Q6_R2,Q6_R3,Q6_R4,Q6_R5,Q6_R6,Q7_R1,Q7_R2,Q7_R3,Q7_R4,Q7_R5,Q7_R6,Q8_R1,Q8_R2,Q8_R3,Q8_R4,Q8_R5,Q8_R6,Q9_R1,Q9_R2,Q9_R3,Q9_R4,Q9_R5,Q9_R6,Q10_R1,Q10_R2,Q10_R3,Q10_R4,Q10_R5,Q10_R6,Q11_R1,Q11_R2,Q11_R3,Q11_R4,Q11_R5,Q11_R6,Q12_R1,Q12_R2,Q12_R3,Q12_R4,Q12_R5,Q12_R6,Q13_R1,Q13_R2,Q13_R3,Q13_R4,Q13_R5,Q13_R6,Q14_R1,Q14_R2,Q14_R3,Q14_R4,Q14_R5,Q14_R6,Q14_R7_None,Q15_R1,Q15_R2,Q15_R3,Q15_R4,Q15_R5,Q15_R6
20522,37,Male,West Midlands,ST3,West Midlands,ST3,,United Kingdom,"Less than £15,000","£15,000 to £19,999",Undergraduate Degree: 4 or more years,Married,Employed as employee,Employed full-time,Education,Assistant or Associate,1+ children under 18,Owned Flat,2,,"Boy age 1, Boy age 4","Cleaning, Finances, Childcare",I do not have any pets,,,I frequently read graphs and tables of numbers,,,,,Understanding a table of numbers,,,,Using pivot tables to analyse a dataset,,,,,,,less than 100MB in size,,,,,,,,I would like to have,,,,,,I would like to have,,,,,I need and use infrequently,,,,,,,I would like to have,,,,,,,I'm indifferent in having,,,,,,I'm indifferent in having,,,I need and use frequently,,,,,,,,,I'm indifferent in having,,,,,,I'm indifferent in having,,,,,,I'm indifferent in having,,,,,I would like to have,,,,,,,,I'm indifferent in having,,
45098,55,Male,South West,,,,,,,"£35,000 to £39,999",O Levels or GCSEs equivalent,Married,,Employed full-time,Military,None,No children/Not pregnant,,,,None,,"Dog(s), Fish",,I occasionally read graphs and tables of numbers,,,,,,,,"Doing my own basic analysis on a dataset e.g. finding the total, average, min and max",,,,,,,,,,"less than 1,000MB (=1GB) in size",,,,,,,,,I don't want this,,,,I would like to have,,,,,I need and use infrequently,,,,,,,,,I don't want this,,,,,,I don't want this,,I need and use frequently,,,,,,I need and use frequently,,,,,,,,I would like to have,,,,,,,I'm indifferent in having,,,,,I would like to have,,,,,I need and use infrequently,,,,,,,I need and use infrequently,,,,
45101,57,Male,North West,,,,,,,"Less than £15,000",O Levels or GCSEs,"Separate, divorced or widowed",,Retired,None,None,No children/Not pregnant,,,,None,,,,,,,,,There's nothing I can't do with data,,,,"Making a graph from a dataset e.g. stacked bar, line, scatter",,,,Building software and analytical products,,,,less than 100MB in size,,,,,,,,,I'm indifferent in having,,,,,I would like to have,,,,,,,,,I don't know what this is,,,,I'm indifferent in having,,,,,I would like to have,,,,,,,I'm indifferent in having,,,,,I would like to have,,,,,I need and use infrequently,,,,,,,I would like to have,,,,,,,,I don't want this,,,,I would like to have,,,,,,,,I'm indifferent in having,,
47,33,Female,London,SE20,London,SE21,,United Kingdom,"£25,000 to £29,999","£25,000 to £29,999",Undergraduate Degree: 4 or more years,"Single, never married",Employed as employee,Employed full-time,Education,None,1+ children under 18,Rented Flat,1,,"Girl age 4, Girl age 12","Cooking, Cleaning, Laundry, Finances, Healthcare, Childcare","Fish, Small animals or rodents (hamsters, mice, rabbits, ferrets, etc.)",,,I frequently read graphs and tables of numbers,,,,,Understanding a table of numbers,,"Doing my own basic analysis on a dataset e.g. finding the total, average, min and max",,,,,,,less than 1 MB in size,,,,,,,,I need and use frequently,,,,,,I need and use frequently,,,,,,,I need and use infrequently,,,,,,,,,,I don't know what this is,,,,,,I don't know what this is,,I need and use infrequently,,,,,I need and use frequently,,,,,,,I need and use infrequently,,,,,,,,I'm indifferent in having,,,,,I would like to have,,,,,,I would like to have,,,,,,,,I'm indifferent in having,,
81966,18,Female,South East,,South East,,,,,,A Levels,Domestic partnership/living with someone,Student,,Legal/Law,Assistant or Associate,,Living with Parents,,,,,,,I occasionally read graphs and tables of numbers,,,,,,Understanding a table of numbers,,,,,,,,,,,,,,,,I never use datasets,,I need and use infrequently,,,,,,I need and use infrequently,,,,,,,I would like to have,,,,,,I would like to have,,,,I need and use frequently,,,,,,,,I would like to have,,,,,I need and use infrequently,,,,,,,I would like to have,,,,,,,,,I don't know what this is,,I need and use infrequently,,,,,,,,,,I don't know what this is,,,,,,,I don't know what this is
20528,34,Male,North West,BB12,North East,BB5,,United Kingdom,"£30,000 to £34,999","£40,000 to £44,999",O Levels or GCSEs equivalent,"Separate, divorced or widowed",Employed as employee,Employed full-time,Retail/Wholesale trade,"Manager (Group Manager, Sr. Manager, Manager, Program Manager)",1+ children under 18,Rented House,2,,Boy age 2,"Cooking, Cleaning, Laundry, Finances",Fish,I never interact with graphs and tables of numbers,,,,,,,,,,"Making a graph from a dataset e.g. stacked bar, line, scatter",,,,,,,less than 10MB in size,,,,,,,I need and use frequently,,,,,,,,,I'm indifferent in having,,,I need and use frequently,,,,,,,,I would like to have,,,,,,,,,I don't know what this is,,I need and use infrequently,,,,,I need and use frequently,,,,,,,,,,,I don't know what this is,,,,,,I don't know what this is,I need and use frequently,,,,,,,I need and use infrequently,,,,,,,,I would like to have,,,
4144,27,Male,London,SE19,London,SE19,,United Kingdom,"£40,000 to £44,999","£100,000 to £124,999",Undergraduate Degree: less than 2 years,"Single, never married",Self-employed/business owner,Self-employed full-time,Accounting,Analyst,No children/Not pregnant,Rented House,1,,Boy age 1,"Cooking, Cleaning, Laundry, Finances, Healthcare","Cat(s), Dog(s)",,,,,,I frequently analyse data for myself or others,,Understanding a table of numbers,,,,,"Doing my own analysis using advanced logic e.g. using VLOOKUP, IF",,,,,less than 10MB in size,,,,,,,I need and use frequently,,,,,,,,,I'm indifferent in having,,,,,I would like to have,,,,,,,I'm indifferent in having,,,,,,,I don't want this,,,,I would like to have,,,,,I need and use infrequently,,,,,I need and use frequently,,,,,,,,,,I don't want this,,I need and use frequently,,,,,,,,,I'm indifferent in having,,,,,,I would like to have,,,
8241,25,Female,East of England,NR7,East of England,NR7,,Malaysia,"£15,000 to £19,999","£15,000 to £19,999",Undergraduate Degree: 4 or more years,"Single, never married",Employed as employee,Employed full-time,Healthcare,"Manager (Group Manager, Sr. Manager, Manager, Program Manager)",Pregnant or expecting,Rented House,3,,Boy age 2,"Cooking, Cleaning, Laundry, Finances, Healthcare, Childcare","Dog(s), Small animals or rodents (hamsters, mice, rabbits, ferrets, etc.)",,I occasionally read graphs and tables of numbers,,,,,,Understanding a table of numbers,Interpreting graphs to spot trends,"Doing my own basic analysis on a dataset e.g. finding the total, average, min and max","Making a graph from a dataset e.g. stacked bar, line, scatter",Using pivot tables to analyse a dataset,"Doing my own analysis using advanced logic e.g. using VLOOKUP, IF",Writing my own computer code to analyse data,,,,,,,"less than 10,000MB (=10GB) in size",,,,I need and use frequently,,,,,,I need and use frequently,,,,,,I need and use frequently,,,,,,,,I would like to have,,,,,,I would like to have,,,,I need and use frequently,,,,,,I need and use frequently,,,,,,I need and use frequently,,,,,,,,I would like to have,,,,I need and use frequently,,,,,,I need and use frequently,,,,,,,,,I would like to have,,,
20530,48,Female,South East,MK12,South East,MK14,,United Kingdom,"Less than £15,000","Less than £15,000",A Levels equivalent,"Separate, divorced or widowed",Employed as employee,Employed part-time,Healthcare,None,1+ children over 18,Other,2,,None,"Cooking, Cleaning, Laundry, Finances, Healthcare",I do not have any pets,I never interact with graphs and tables of numbers,,,,,,,,,,,,,,,None,,less than 10MB in size,,,,,,,,,,,,I don't know what this is,,,,,,I don't know what this is,,,,,,I don't know what this is,,,,,,I don't know what this is,,,,,,I don't know what this is,,,,,,I don't know what this is,,,,,,I don't know what this is,,,,,,I don't know what this is,,,,,,I don't know what this is,,,,,,I don't know what this is,,,,,,I don't know what this is,,,,,,,I don't know what this is
20532,35,Female,East of England,SG18,East of England,PE1,,United Kingdom,"£50,000 to £59,999","£50,000 to £59,999",Post Graduate: other/not PhD or MA,"Single, never married",Employed as employee,Employed full-time,Legal/Law,"Manager (Group Manager, Sr. Manager, Manager, Program Manager)",No children/Not pregnant,Owned House,1,,None,"Cooking, Cleaning, Laundry, Finances, Healthcare",,,,,,,I frequently analyse data for myself or others,,Understanding a table of numbers,Interpreting graphs to spot trends,"Doing my own basic analysis on a dataset e.g. finding the total, average, min and max","Making a graph from a dataset e.g. stacked bar, line, scatter",Using pivot tables to analyse a dataset,"Doing my own analysis using advanced logic e.g. using VLOOKUP, IF",Writing my own computer code to analyse data,,,,less than 10MB in size,,,,,,,I need and use frequently,,,,,,,,,I'm indifferent in having,,,I need and use frequently,,,,,,I need and use frequently,,,,,,,,I would like to have,,,,I need and use frequently,,,,,,I need and use frequently,,,,,,,,I would like to have,,,,,,I would like to have,,,,,,I would like to have,,,,,,I would like to have,,,,,,,I would like to have,,,
56,37,Female,London,SE1,South West,BR1,,Australia,"£150,000 to £174,999","£200,000 and above",Post Graduate: MA,Married,Employed as employee,Employed full-time,Insurance,"Director (Group Director, Sr. Director, Director)",No children/Not pregnant,Owned House,2,,None,"Cooking, Cleaning, Laundry, Finances, Healthcare",Fish,,,I frequently read graphs and tables of numbers,,,,,Understanding a table of numbers,Interpreting graphs to spot trends,"Doing my own basic analysis on a dataset e.g. finding the total, average, min and max","Making a graph from a dataset e.g. stacked bar, line, scatter",Using pivot tables to analyse a dataset,"Doing my own analysis using advanced logic e.g. using VLOOKUP, IF",,,,,less than 10MB in size,,,,,,,I need and use frequently,,,,,,,I need and use infrequently,,,,,,I need and use infrequently,,,,,I need and use frequently,,,,,,,,,,,I don't know what this is,,I need and use infrequently,,,,,I need and use frequently,,,,,,,I need and use infrequently,,,,,,,I would like to have,,,,,I need and use infrequently,,,,,,I need and use infrequently,,,,,,,I need and use infrequently,,,,
90174,48,Male,North West,,,,,,,"£45,000 to £49,999",Undergraduate Degree: less than 2 years,Domestic partnership/living with someone,,Employed full-time,Manufacturing,"Manager (Group Manager, Sr. Manager, Manager, Program Manager)",No children/Not pregnant,Owned House,,,None,,,,,I frequently read graphs and tables of numbers,,,,,Understanding a table of numbers,Interpreting graphs to spot trends,"Doing my own basic analysis on a dataset e.g. finding the total, average, min and max","Making a graph from a dataset e.g. stacked bar, line, scatter",Using pivot tables to analyse a dataset,"Doing my own analysis using advanced logic e.g. using VLOOKUP, IF",,,,less than 1 MB in size,,,,,,,,I need and use frequently,,,,,,,I need and use infrequently,,,,,,I need and use infrequently,,,,,,I need and use infrequently,,,,,,,,I'm indifferent in having,,,,I need and use infrequently,,,,,I need and use frequently,,,,,,,,,I'm indifferent in having,,,,,,I'm indifferent in having,,,,I need and use infrequently,,,,,,I need and use infrequently,,,,,,I need and use frequently,,,,,
36928,41,Male,South West,,,,,,,"£45,000 to £49,999",Undergraduate Degree: less than 2 years,,,Employed full-time,Engineering,"Manager (Group Manager, Sr. Manager, Manager, Program Manager)",1+ children under 18,,,,Girl age 9,,,,,I frequently read graphs and tables of numbers,,,,,Understanding a table of numbers,Interpreting graphs to spot trends,"Doing my own basic analysis on a dataset e.g. finding the total, average, min and max",,,,,,,,,less than 100MB in size,,,,,,I need and use frequently,,,,,,,,I would like to have,,,,I need and use frequently,,,,,,I need and use frequently,,,,,,,,I would like to have,,,,I need and use frequently,,,,,,I need and use frequently,,,,,,,,,I'm indifferent in having,,,,,,I'm indifferent in having,,,I need and use frequently,,,,,,,,,,I don't want this,,,,,,,I don't want this,
24641,62,Female,North West,WA5,Not applicable,N/A,,United Kingdom,"Less than £15,000","£15,000 to £19,999",A Levels equivalent,Married,Retired,Full-time homemaker,None,None,No children/Not pregnant,Owned House,2,,None,"Cooking, Cleaning, Laundry, Finances, Healthcare",Dog(s),,,,,I occasionally analyse data for myself or others,,,Understanding a table of numbers,,,,,,,,,less than 1 MB in size,,,,,,,,,I need and use infrequently,,,,,,,,I'm indifferent in having,,,,,I would like to have,,,,,,,,I don't want this,,,,,,I don't want this,,,,I would like to have,,,,,,I would like to have,,,,,,I would like to have,,,,,,,I'm indifferent in having,,,,,,I'm indifferent in having,,,,,I would like to have,,,,,,,I would like to have,,,
71,20,Male,London,CR0,London,CR7,,"United Kingdom, Spain","Less than £15,000","Less than £15,000",A Levels,"Single, never married",Not employed & not currently looking for work,Self-employed full-time,Automotive,"Director (Group Director, Sr. Director, Director)",1+ children under 18,Living with Parents,2,,"Boy age 12, Male teen age 15","Cooking, Cleaning",Cat(s),,,,I frequently ask others to analyse data for me,,,,Understanding a table of numbers,,,,,,,,,,,,"less than 1,000MB (=1GB) in size",,,,,,I need and use infrequently,,,,,,,I would like to have,,,,I need and use frequently,,,,,,,,I would like to have,,,,,,,I'm indifferent in having,,,,,,,I don't want this,,,,I would like to have,,,,I need and use frequently,,,,,,,I need and use infrequently,,,,,,,I would like to have,,,,,I need and use infrequently,,,,,,,,,I'm indifferent in having,,
49225,27,Male,West Midlands,B20,West Midlands,B20,,United Kingdom,"£40,000 to £44,999","£40,000 to £44,999",A Levels,"Single, never married",Employed as employee,Student,Computer Software,None,No children/Not pregnant,Rented House,1,,None,"Cooking, Cleaning, Laundry, Finances, Childcare",Dog(s),,,,,,I frequently analyse data for myself or others,,Understanding a table of numbers,,,,,,,,,,,,"less than 1,000MB (=1GB) in size",,,,,,,,I'm indifferent in having,,,,I need and use infrequently,,,,,,,I would like to have,,,,,,,I'm indifferent in having,,,,I need and use infrequently,,,,,,,I would like to have,,,,,,,I'm indifferent in having,,,I need and use frequently,,,,,,I need and use frequently,,,,,,,I need and use infrequently,,,,,,,,,I don't want this,,,I need and use frequently,,,,,
90187,40,Female,North West,,,,,,,"£50,000 to £59,999",Undergraduate Degree: less than 2 years,,,Self-employed full-time,Other,Administrative (Clerical or Support Staff),1+ children under 18,,,,"Boy age 5, Girl age 7",,,,,,,,I frequently analyse data for myself or others,,,,"Doing my own basic analysis on a dataset e.g. finding the total, average, min and max",,,,,,,,less than 10MB in size,,,,,,,,,I would like to have,,,,,,I would like to have,,,,I need and use frequently,,,,,,,,I would like to have,,,,,I need and use infrequently,,,,,I need and use frequently,,,,,,I need and use frequently,,,,,,,,I would like to have,,,,I need and use frequently,,,,,,,,I would like to have,,,,,,I would like to have,,,,,I need and use frequently,,,,,
49228,27,Male,North West,WA1,North West,WA1,,United Kingdom,"£20,000 to £24,999","£20,000 to £24,999",Undergraduate Degree: 3 years,"Single, never married",Employed as employee,Employed full-time,Construction,"Manager (Group Manager, Sr. Manager, Manager, Program Manager)",No children/Not pregnant,Owned House,1,,None,"Cleaning, Laundry",I do not have any pets,I never interact with graphs and tables of numbers,,,,,,,,,,,,,,Building software and analytical products,,less than 1 MB in size,,,,,,,,I need and use frequently,,,,,,,,I would like to have,,,,I need and use frequently,,,,,,I need and use frequently,,,,,,I need and use frequently,,,,,,,I need and use infrequently,,,,,I need and use frequently,,,,,,,,,I'm indifferent in having,,,I need and use frequently,,,,,,,,,I'm indifferent in having,,,,,I would like to have,,,,,,I need and use infrequently,,,,
81997,53,Female,London,,,,,,,"£40,000 to £44,999",Undergraduate Degree: 3 years,,,Full-time homemaker,None,,1+ children under 18,,,,Boy age 8,,,,,I frequently read graphs and tables of numbers,,,,,Understanding a table of numbers,,,,,,,,,,,less than 100MB in size,,,,,,,,I would like to have,,,,,,I would like to have,,,,,,I would like to have,,,,,,I would like to have,,,,,,,I'm indifferent in having,,,,I need and use infrequently,,,,,,I need and use infrequently,,,,,,,,I'm indifferent in having,,,,,I would like to have,,,,,,I would like to have,,,,,I need and use infrequently,,,,,,I need and use frequently,,,,,
