,Anon. ID,Q1,Q2_total,Q2s_1,Q2s_2,Q2s_3,Q2s_4,Q2s_5,Q2s_6,Q2s_7,Q2s_8,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15
107,45370,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,2,2,3,3,2
108,37178,6,15,1,2,3,4,5,0,0,0,4,5,2,5,2,2,5,0,0,2,2,2,2
109,37179,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,4413,3,22,1,2,3,4,5,0,7,0,4,0,5,0,3,3,0,5,3,5,0,0,0
111,8510,2,7,1,2,0,4,0,0,0,0,0,0,2,0,1,0,3,5,1,5,2,2,3
112,65860,2,4,0,0,0,4,0,0,0,0,1,3,2,3,0,0,0,5,0,0,0,0,0
113,8520,7,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
114,4425,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,24907,3,10,1,2,3,4,0,0,0,0,3,5,3,5,2,1,5,5,3,3,5,5,3
116,65868,1,8,0,0,0,0,0,0,0,8,3,2,3,2,2,3,3,3,2,3,2,3,0
117,90448,6,8,0,0,0,0,0,0,0,8,3,5,5,5,0,5,5,5,5,2,0,5,5
118,74066,2,1,1,0,0,0,0,0,0,0,3,3,3,3,3,0,0,3,3,3,3,3,3
119,90457,5,28,1,2,3,4,5,6,7,0,2,5,2,0,0,0,5,0,2,2,0,0,0
120,24921,3,36,1,2,3,4,5,6,7,8,4,5,5,5,5,5,5,5,5,5,5,5,5
121,45403,1,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,1,2,1,5,0,2,2
122,41307,3,6,0,0,0,0,0,6,0,0,4,2,3,3,2,3,3,0,0,5,0,3,0
123,4445,6,11,0,2,0,4,5,0,0,0,4,3,0,3,0,3,1,3,3,0,0,1,2
124,12638,6,10,1,2,3,4,0,0,0,0,3,5,2,5,5,3,5,5,3,2,0,3,5
125,33119,6,21,1,2,3,4,5,6,0,0,2,5,1,5,0,2,5,0,2,1,0,2,5
126,74082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,29029,2,8,1,0,3,4,0,0,0,0,3,5,0,5,0,0,5,5,0,3,0,5,5
128,24933,6,4,1,0,3,0,0,0,0,0,4,3,2,5,0,0,3,5,2,5,5,3,5
129,4461,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0
130,37230,6,7,0,0,0,0,0,0,7,0,1,5,5,5,5,5,5,5,5,5,5,5,5
131,45425,2,1,1,0,0,0,0,0,0,0,5,3,0,2,3,3,2,0,3,2,3,3,3
132,37235,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,45429,2,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
134,37239,1,5,0,0,0,0,5,0,0,0,1,3,0,5,2,1,1,1,1,3,3,0,0
135,8569,5,8,0,0,0,0,0,0,0,8,4,5,5,0,5,5,5,5,5,5,5,2,0
136,20861,2,25,0,0,3,4,5,6,7,0,2,5,2,0,0,2,0,0,2,3,0,2,2
137,383,2,3,0,0,3,0,0,0,0,0,1,2,2,2,2,2,3,2,1,3,2,2,2
138,12671,3,4,1,0,3,0,0,0,0,0,1,5,3,0,0,0,0,0,0,3,3,5,5
139,4484,6,1,1,0,0,0,0,0,0,0,6,2,3,3,2,2,2,2,0,2,2,3,1
140,12678,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
141,90503,2,1,1,0,0,0,0,0,0,0,0,2,1,1,0,0,2,2,0,0,2,2,1
142,8589,5,6,1,2,3,0,0,0,0,0,0,3,0,3,0,0,3,0,0,1,1,1,1
143,70031,6,2,0,2,0,0,0,0,0,0,5,2,3,3,0,0,0,5,0,3,2,0,2
144,20879,4,1,1,0,0,0,0,0,0,0,2,3,1,3,3,3,3,0,3,3,3,3,3
145,400,2,6,1,2,3,0,0,0,0,0,1,5,0,2,0,0,3,0,0,0,0,0,0
146,20884,3,18,1,2,3,4,0,0,0,8,4,3,3,0,0,0,5,3,3,5,0,5,5
147,45462,2,1,1,0,0,0,0,0,0,0,1,1,2,3,2,1,0,2,1,2,1,1,1
148,24984,4,3,0,0,3,0,0,0,0,0,1,2,2,3,2,3,0,2,2,2,1,2,1
149,12698,2,4,1,0,3,0,0,0,0,0,1,3,0,0,5,0,3,5,2,5,5,5,0
150,4509,2,1,1,0,0,0,0,0,0,0,3,0,3,3,3,0,3,0,0,3,3,3,3
151,8607,6,25,1,2,3,4,0,0,7,8,5,3,3,3,2,0,0,5,5,5,5,0,0
152,37281,2,3,1,2,0,0,0,0,0,0,1,5,2,5,0,0,5,5,0,3,3,0,1
153,37286,4,4,0,0,0,4,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2
154,8617,6,16,1,2,3,4,0,6,0,0,4,5,5,0,1,1,5,5,1,2,0,2,5
155,70061,4,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,0,3,0,2,0,0,0
156,8622,3,3,0,0,3,0,0,0,0,0,3,3,2,3,2,2,2,2,3,2,2,2,2
157,20916,3,3,0,0,3,0,0,0,0,0,2,0,0,5,0,0,5,5,2,2,0,2,1
158,4533,6,8,1,2,0,0,5,0,0,0,2,5,1,5,1,1,5,0,1,0,0,1,1
159,86457,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0
160,8643,2,7,0,0,0,0,0,0,7,0,3,5,0,5,0,3,5,5,5,0,3,0,0
161,49605,2,5,0,0,0,0,5,0,0,0,2,0,3,5,5,0,5,0,5,0,0,0,5
162,20934,3,16,0,2,3,0,5,6,0,0,5,5,5,5,5,5,5,5,0,5,5,5,5
163,20939,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,49612,1,2,0,2,0,0,0,0,0,0,1,0,2,0,0,0,0,3,0,5,5,5,0
165,464,2,4,0,0,0,4,0,0,0,0,4,5,5,5,5,5,5,5,5,5,5,5,5
166,90579,6,15,1,2,3,4,5,0,0,0,2,5,0,0,0,0,0,5,0,0,5,2,0
167,4563,5,3,0,0,3,0,0,0,0,0,5,2,0,2,3,3,0,2,2,3,3,3,3
168,74194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,49620,5,29,1,2,3,4,5,6,0,8,3,5,1,5,2,0,5,0,0,0,5,3,3
170,8662,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2
171,8663,2,7,0,0,0,0,0,0,7,0,5,0,3,0,2,0,3,2,3,3,2,0,5
172,49623,2,8,1,0,3,4,0,0,0,0,2,0,5,5,0,2,0,3,0,1,2,1,1
173,90584,2,3,0,0,3,0,0,0,0,0,5,0,0,0,3,3,3,2,5,2,2,2,0
174,8666,2,6,0,0,0,0,0,6,0,0,1,5,5,5,3,3,5,5,3,0,5,5,5
175,33243,6,10,1,2,3,4,0,0,0,0,2,0,0,0,5,3,5,5,0,0,0,0,5
176,20958,2,7,1,2,0,4,0,0,0,0,0,0,1,3,2,0,2,3,2,3,3,2,2
177,20960,7,2,0,2,0,0,0,0,0,0,0,1,3,1,3,1,2,1,2,3,2,2,2
178,8674,6,21,1,2,3,4,5,6,0,0,2,5,2,5,5,2,5,5,2,2,5,2,5
179,4582,2,5,0,0,0,0,5,0,0,0,2,0,0,5,5,0,5,5,5,5,5,5,5
180,82406,1,3,0,0,3,0,0,0,0,0,4,5,0,0,3,3,3,2,3,0,0,3,3
181,53742,2,1,1,0,0,0,0,0,0,0,3,0,0,5,3,0,3,5,5,5,0,3,5
182,4592,5,1,1,0,0,0,0,0,0,0,0,5,0,2,2,2,5,0,2,1,2,2,0
183,20987,6,15,1,2,3,4,5,0,0,0,6,5,2,5,0,3,5,5,0,2,5,0,5
184,8699,3,6,1,2,3,0,0,0,0,0,3,0,0,5,0,0,5,5,0,2,0,5,0
185,20988,6,21,1,2,3,4,5,6,0,0,2,5,0,5,5,0,5,5,2,0,5,0,0
186,74236,1,1,1,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0
187,49665,3,6,0,0,0,0,0,6,0,0,2,2,3,5,3,3,0,0,2,0,0,0,3
188,74242,6,2,0,2,0,0,0,0,0,0,2,5,3,3,1,1,5,2,1,1,3,2,2
189,520,5,12,0,2,0,4,0,6,0,0,5,0,0,0,2,5,0,0,2,3,0,2,3
190,45577,2,5,1,0,0,4,0,0,0,0,1,3,2,3,3,2,3,0,2,3,2,2,3
191,4622,6,8,1,0,3,4,0,0,0,0,3,5,5,3,3,3,5,5,2,3,5,5,0
192,74254,0,1,1,0,0,0,0,0,0,0,0,2,2,2,0,0,2,2,0,2,2,2,2
193,74262,5,8,1,0,3,4,0,0,0,0,2,5,2,0,0,1,0,5,3,3,2,1,0
194,74264,3,16,1,2,3,4,0,6,0,0,1,0,0,5,5,0,5,5,0,0,5,3,5
195,12835,3,5,0,0,0,0,5,0,0,0,1,5,2,0,0,2,2,0,1,2,2,2,2
196,90662,2,3,0,0,3,0,0,0,0,0,3,2,1,0,0,1,2,2,0,3,2,3,2
197,21031,2,10,1,2,3,4,0,0,0,0,1,3,3,3,0,0,3,3,0,0,3,2,3
198,74280,7,3,0,0,3,0,0,0,0,0,0,0,1,3,0,0,0,0,3,0,0,0,2
199,74284,2,4,0,0,0,4,0,0,0,0,1,0,3,3,0,0,3,3,3,3,3,3,3
200,74294,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
201,74297,3,3,0,0,3,0,0,0,0,0,1,5,5,5,5,5,5,5,5,5,5,5,5
202,16956,0,1,1,0,0,0,0,0,0,0,0,2,2,1,1,1,1,1,0,0,0,0,0
203,41533,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,2,0,2,0,0,2
204,8777,3,10,1,2,3,4,0,0,0,0,3,5,5,5,0,5,5,5,0,5,5,0,5
205,4682,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,8779,2,3,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0
207,90704,6,6,0,0,0,0,0,6,0,0,2,3,0,5,0,0,5,5,2,3,3,5,5
208,4697,1,3,0,0,3,0,0,0,0,0,0,3,3,3,3,3,3,3,0,1,0,2,1
209,41565,5,18,1,2,0,0,0,0,7,8,2,5,5,5,2,5,5,5,2,5,5,5,5
210,21086,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,3,0,3,1,1,1
211,74340,3,4,0,0,0,4,0,0,0,0,1,2,5,5,0,5,5,5,3,0,5,0,3
212,25195,6,13,1,0,0,0,5,0,7,0,7,0,5,5,3,0,5,5,0,5,5,5,0
213,4716,6,15,1,2,3,4,5,0,0,0,2,5,1,5,2,0,5,5,2,3,3,2,3
214,8815,5,8,1,0,3,4,0,0,0,0,0,0,2,1,0,1,2,0,2,2,2,2,1
215,4725,2,6,0,2,0,4,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
216,8833,1,3,0,0,3,0,0,0,0,0,0,1,0,0,0,0,2,3,0,3,3,1,1
217,45699,3,10,1,2,3,4,0,0,0,0,2,0,5,3,3,3,5,5,1,1,3,3,5
218,74377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,49801,2,3,0,0,3,0,0,0,0,0,2,0,3,3,0,0,0,3,0,2,2,3,3
220,74376,3,6,0,0,0,0,0,6,0,0,3,3,2,0,2,5,5,0,3,5,0,3,2
221,21130,2,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
222,8843,3,2,0,2,0,0,0,0,0,0,1,5,0,3,0,0,3,5,3,2,0,0,0
223,74383,3,3,0,0,3,0,0,0,0,0,2,0,0,5,0,0,5,0,1,1,0,2,0
224,74382,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,53905,3,36,1,2,3,4,5,6,7,8,6,5,0,3,3,0,0,0,0,0,5,0,5
226,17042,6,14,0,2,3,4,5,0,0,0,1,5,2,5,5,0,5,5,2,2,3,3,5
227,90777,1,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,66201,6,18,1,2,3,4,0,0,0,8,2,5,3,5,0,3,5,0,3,2,3,0,3
229,8862,5,2,0,2,0,0,0,0,0,0,2,2,1,3,1,1,0,0,3,2,3,3,2
230,66209,7,7,0,0,0,0,0,0,7,0,1,1,1,3,3,3,3,3,0,3,5,3,3
231,8868,1,6,0,0,0,0,0,6,0,0,2,3,5,2,0,2,5,3,0,3,5,3,0
232,4774,2,1,1,0,0,0,0,0,0,0,5,0,2,2,5,2,0,3,3,3,3,3,5
233,90790,0,36,1,2,3,4,5,6,7,8,2,5,5,5,5,5,5,5,0,5,0,0,5
234,12971,5,3,0,0,3,0,0,0,0,0,4,0,0,5,3,2,5,5,2,0,0,3,5
235,41643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
236,684,3,8,1,0,3,4,0,0,0,0,2,3,3,0,0,0,0,3,0,3,2,5,2
237,4780,2,7,1,2,0,4,0,0,0,0,3,0,0,2,2,0,2,0,0,0,0,0,0
238,41646,7,3,1,2,0,0,0,0,0,0,3,3,3,0,3,3,2,5,0,5,5,2,5
239,90800,3,17,1,2,3,4,0,0,7,0,2,5,5,5,3,0,3,3,3,3,5,5,5
240,8882,5,10,1,2,3,4,0,0,0,0,2,0,3,0,3,2,0,0,3,3,0,3,3
241,12981,3,10,1,2,3,4,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,2,3
242,700,2,1,1,0,0,0,0,0,0,0,1,1,0,2,0,0,0,3,0,3,0,0,0
243,12992,3,36,1,2,3,4,5,6,7,8,4,5,5,5,5,5,5,5,5,5,5,5,5
244,4800,2,13,0,2,3,0,0,0,0,8,6,3,0,5,2,0,3,0,0,5,0,0,0
245,90816,6,3,0,0,3,0,0,0,0,0,2,5,5,5,0,0,5,5,2,2,0,5,2
246,17090,6,19,1,0,3,4,5,6,0,0,2,5,1,5,0,0,5,5,1,1,5,0,0
247,37590,2,3,1,2,0,0,0,0,0,0,2,0,5,0,0,3,0,5,0,2,0,0,0
248,4824,6,24,1,0,3,0,5,0,7,8,3,3,5,5,3,0,5,5,2,0,5,5,5
249,8921,2,10,1,2,3,4,0,0,0,0,1,5,2,0,0,0,5,0,0,2,0,0,2
250,86744,5,23,1,2,3,4,0,6,7,0,1,2,5,2,5,2,2,5,2,0,0,0,0
251,4830,3,6,0,0,0,0,0,6,0,0,2,2,0,2,5,3,5,2,5,2,5,2,5
252,21215,2,2,0,2,0,0,0,0,0,0,2,5,3,5,2,3,5,5,3,3,2,0,5
253,49887,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
254,4834,3,5,0,0,0,0,5,0,0,0,2,5,5,5,0,5,5,5,0,5,5,0,5
255,4839,3,14,0,0,3,0,5,6,0,0,4,3,0,3,2,3,2,3,2,2,3,3,3
256,13031,6,31,1,2,3,4,0,6,7,8,4,0,0,3,1,2,0,0,5,3,5,3,0
257,743,1,36,1,2,3,4,5,6,7,8,2,5,5,5,5,5,5,5,5,5,5,5,5
258,13037,7,5,1,0,0,4,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0
259,49902,5,8,0,0,0,0,0,0,0,8,4,1,3,0,2,1,0,3,3,3,2,2,2
260,13044,6,25,1,2,3,4,0,0,7,8,4,3,3,2,1,1,0,5,3,5,2,2,1
261,49918,3,9,0,2,3,4,0,0,0,0,2,5,1,5,2,0,5,5,1,1,5,5,5
262,25342,6,6,0,2,0,4,0,0,0,0,1,3,3,3,0,0,3,5,0,0,3,5,5
263,66305,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
264,8962,6,15,1,2,3,4,5,0,0,0,4,5,0,5,0,0,3,5,0,3,5,0,5
265,4866,6,36,1,2,3,4,5,6,7,8,5,5,5,5,5,5,5,5,5,5,5,5,5
266,74505,5,6,1,2,3,0,0,0,0,0,3,0,5,5,2,2,3,0,1,0,2,3,0
267,13065,5,4,1,0,3,0,0,0,0,0,2,5,1,1,1,0,1,5,0,0,0,0,0
268,66315,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1
